Date,Open,High,Low,Close,Volume
"Jan 13, 2026",78153.31,82450.17,78001.07,81877.50,47226145063
"Jan 12, 2026",78136.94,79252.91,77094.48,78159.87,35437148376
"Jan 11, 2026",77683.41,78063.88,77552.30,78138.32,14767435997
"Jan 10, 2026",77790.63,77965.04,77595.78,77684.52,10645293032
"Jan 9, 2026",78080.61,79011.65,76947.06,77793.20,32922739312
"Jan 8, 2026",78198.03,78357.63,76517.34,78081.34,36358503365
"Jan 7, 2026",80196.59,80206.28,77571.91,78196.67,37220470390
"Jan 6, 2026",80136.37,80661.34,78019.33,80197.93,44861513360
"Jan 5, 2026",78097.62,80818.59,78097.62,80141.15,45563809276
"Jan 4, 2026",77257.18,78203.32,77250.45,78096.65,22870646497
"Jan 3, 2026",76705.14,77322.47,76178.98,77257.34,17714696340
"Jan 2, 2026",75510.95,77452.83,75071.75,76704.84,39568987182
"Jan 1, 2026",74585.91,75579.01,74493.31,75510.03,16040347945
"Dec 31, 2025",75287.45,75885.89,74263.99,74586.57,28834571074
"Dec 30, 2025",74002.59,75915.39,73681.84,75287.91,30297618722
"Dec 29, 2025",74610.01,76727.55,73729.22,74005.81,41115654952
"Dec 28, 2025",74567.37,74726.65,74244.20,74610.04,12874374376
"Dec 27, 2025",74150.78,74631.44,74050.17,74569.76,11670304386
"Dec 26, 2025",74028.58,75975.66,73478.16,74150.78,36060364318
"Dec 25, 2025",74405.22,75164.04,73797.23,74027.92,16932419112
"Dec 24, 2025",74104.09,74701.25,73340.55,74408.31,21699714778
"Dec 23, 2025",75223.52,75544.43,73585.70,74112.30,37035811351
"Dec 22, 2025",75677.54,77089.27,74781.91,75223.51,32343357051
"Dec 21, 2025",75434.18,76040.29,74634.27,75677.84,16946925311
"Dec 20, 2025",75220.23,75557.94,75069.29,75433.59,12541692976
"Dec 19, 2025",72902.00,76218.60,72572.75,75221.70,39900386491
"Dec 18, 2025",73366.83,76119.50,72013.20,72890.38,44919414011
"Dec 17, 2025",74768.77,76825.80,72645.77,73366.31,37680903173
"Dec 16, 2025",73530.32,74908.61,72646.92,74765.69,35119023867
"Dec 15, 2025",75121.76,76649.92,72658.09,73526.38,38762262583
"Dec 14, 2025",76933.10,77104.93,74650.95,75125.25,42997008319
"Dec 13, 2025",76857.68,77232.27,76510.98,76935.04,54730946816
"Dec 12, 2025",78796.30,79038.02,76339.44,76868.41,68357725379
"Dec 11, 2025",78632.03,79685.78,76111.17,78794.31,54964293100
"Dec 10, 2025",79717.25,80800.55,78705.49,78640.27,55907936744
"Dec 9, 2025",77868.57,81293.12,76917.68,79714.22,57500612406
"Dec 8, 2025",77679.42,79174.13,77131.36,77869.00,49307270499
"Dec 7, 2025",76672.77,78759.34,75403.23,77663.15,40714682741
"Dec 6, 2025",76758.73,77522.69,76392.67,76668.09,32629701552
"Dec 5, 2025",79129.81,79542.38,75757.77,76757.35,54318332763
"Dec 4, 2025",80105.34,80666.85,78077.51,79136.66,55429387988
"Dec 3, 2025",78553.49,80590.14,78264.15,80168.38,66558727356
"Dec 2, 2025",74372.99,79468.46,74277.16,78557.89,67547418777
"Dec 1, 2025",77914.42,77922.22,72125.30,74372.16,75786278912
"Nov 30, 2025",78332.24,79304.13,77918.90,77918.90,33184768796
"Nov 29, 2025",78401.69,78633.55,77833.80,78343.92,32700969138
"Nov 28, 2025",78692.84,80340.63,77808.23,78402.14,52512118645
"Nov 27, 2025",78019.44,79355.48,77651.66,78692.83,49172040045
"Nov 26, 2025",75525.37,78108.13,74575.04,78019.95,57314758493
"Nov 25, 2025",76620.88,76817.05,74437.54,75522.18,56063100355
"Nov 24, 2025",75429.17,77401.22,73961.35,76621.41,64610780406
"Nov 23, 2025",73482.87,76465.81,73476.93,75434.59,50475202516
"Nov 22, 2025",73899.59,74258.77,72477.87,73482.65,35412203904
"Nov 21, 2025",75023.04,75771.30,70129.84,73892.75,112160378308
"Nov 20, 2025",79258.30,80774.51,74564.77,75112.45,84943488887
"Nov 19, 2025",80262.73,80262.73,76814.91,79264.06,69631295944
"Nov 18, 2025",79459.99,80980.84,77016.83,80265.07,87505590228
"Nov 17, 2025",81087.66,82632.70,78731.20,79459.42,81264671463
"Nov 16, 2025",82213.59,83106.22,79984.86,81084.39,61203685180
"Nov 15, 2025",81225.40,83210.86,81225.40,82206.95,33124592083
"Nov 14, 2025",85721.00,85782.11,80864.32,81205.88,98366755329
"Nov 13, 2025",87712.26,89713.16,84217.48,85723.39,87313506033
"Nov 12, 2025",88904.02,90929.53,87036.22,87702.80,55511024731
"Nov 11, 2025",91712.62,93007.52,88457.56,88891.97,61388814314
"Nov 10, 2025",90722.94,92240.48,90348.04,91712.39,60208423480
"Nov 9, 2025",88404.43,91250.35,87704.22,90719.36,51700545977
"Nov 8, 2025",89348.91,89350.52,87694.85,88407.13,44467741661
"Nov 7, 2025",87701.53,89939.64,85883.36,89349.52,79665068128
"Nov 6, 2025",90375.34,90522.34,86969.59,87714.56,55357964182
"Nov 5, 2025",88436.51,90971.74,86111.23,90373.74,67489815842
"Nov 4, 2025",92495.43,93169.31,86192.20,88446.34,96609806538
"Nov 3, 2025",95985.30,96086.24,91382.77,92500.72,63247489249
"Nov 2, 2025",94936.30,95887.59,94977.87,95978.99,29741277432
"Nov 1, 2025",94454.88,95376.60,94294.80,94935.94,22315659634
"Oct 31, 2025",93594.62,96297.13,93580.66,94452.75,51806302591
"Oct 30, 2025",94850.01,96054.37,91987.97,93595.59,60210916587
"Oct 29, 2025",96872.05,97601.94,94368.69,94846.65,53597662790
"Oct 28, 2025",97955.63,99639.77,96373.55,96901.93,55356821468
"Oct 27, 2025",98424.63,100008.30,97748.02,97947.25,53009033064
"Oct 26, 2025",96032.02,99112.39,95713.27,98418.26,35859112175
"Oct 25, 2025",95510.37,96297.53,95228.04,96034.33,21253560124
"Oct 24, 2025",94746.93,96298.43,94423.41,95511.49,41427982927
"Oct 23, 2025",92769.39,95851.87,92675.45,94747.25,47295476064
"Oct 22, 2025",93528.16,93966.03,91958.81,92777.27,69617908518
"Oct 21, 2025",94972.99,98136.38,92582.37,93515.54,87237444825
"Oct 20, 2025",93213.20,95819.24,92175.60,94974.10,54540683224
"Oct 19, 2025",91965.65,93873.67,91060.03,93212.57,40879419767
"Oct 18, 2025",91320.02,92183.84,91264.72,91960.46,32409642863
"Oct 17, 2025",92467.52,93291.09,88596.76,91306.34,85504938299
"Oct 16, 2025",95125.66,96095.17,92008.47,92473.42,74626300100
"Oct 15, 2025",97484.23,97765.13,94752.99,95126.52,62317448381
"Oct 14, 2025",99660.90,99940.37,95002.76,97488.27,79471213115
"Oct 13, 2025",99266.26,100285.32,98259.55,99666.25,61891609869
"Oct 12, 2025",95354.52,99815.63,94411.43,99273.23,80775846765
"Oct 11, 2025",97449.80,97599.13,94450.17,95351.40,94860094606
"Oct 10, 2025",105231.88,105912.66,90002.27,97430.81,131777400613
"Oct 9, 2025",106058.53,106548.24,103660.30,105232.61,64548649946
"Oct 8, 2025",104221.27,106971.19,104257.81,106073.84,56198689950
"Oct 7, 2025",106537.83,107299.23,103460.41,104223.87,65347846796
"Oct 6, 2025",105454.95,107745.13,105167.79,106538.16,61973534259
"Oct 5, 2025",104297.89,106972.68,104103.88,105457.53,62916971157
"Oct 4, 2025",104123.84,104626.43,103580.45,104302.79,31326231243
"Oct 3, 2025",102908.95,105588.87,101689.95,104123.03,71485077211
"Oct 2, 2025",101127.55,103273.99,100819.71,102929.65,60910350376
"Oct 1, 2025",97198.51,101124.60,97132.32,101124.60,60793505405
"Sep 30, 2025",97518.91,97946.45,95961.27,97197.23,50267442810
"Sep 29, 2025",95787.02,97628.55,95140.92,97522.21,51147965709
"Sep 28, 2025",93729.26,96004.63,93348.98,95791.08,28510288322
"Sep 27, 2025",93730.71,93791.67,93249.83,93729.25,22481669609
"Sep 26, 2025",93503.34,94319.48,93186.82,93735.57,49329977406
"Sep 25, 2025",96515.37,96681.48,93253.05,93510.20,64766123163
"Sep 24, 2025",94795.34,97119.95,94259.45,96514.06,40916218512
"Sep 23, 2025",95553.05,96030.61,94412.41,94801.12,39956760573
"Sep 22, 2025",98250.61,98364.67,94957.62,95545.45,59899240357
"Sep 21, 2025",98510.61,98656.05,98156.13,98247.95,19167860811
"Sep 20, 2025",98497.70,98894.47,98312.43,98503.57,19462425292
"Sep 19, 2025",99360.74,99705.89,98012.17,98495.77,33057980312
"Sep 18, 2025",98482.67,100050.27,98286.42,99360.34,41951586971
"Sep 17, 2025",98423.29,99087.65,96866.52,98488.80,51184072511
"Sep 16, 2025",98125.20,98612.52,97107.30,98425.55,38565305538
"Sep 15, 2025",98416.96,99543.09,97284.92,98143.15,45004062425
"Sep 14, 2025",98815.63,99012.66,98259.01,98423.80,27971345879
"Sep 13, 2025",98923.32,99238.26,98217.34,98815.80,29443874692
"Sep 12, 2025",98450.30,99496.51,97959.41,98930.16,46682917035
"Sep 11, 2025",97382.09,98462.87,96805.96,98450.08,38938568994
"Sep 10, 2025",95307.91,97498.96,94834.02,97376.91,48175566143
"Sep 9, 2025",95235.68,96245.25,94482.11,95307.31,39295578156
"Sep 8, 2025",94910.98,96061.88,94453.53,95230.46,34170033936
"Sep 7, 2025",94073.57,95293.87,94065.29,94914.91,21018854820
"Sep 6, 2025",94397.88,94930.61,93905.23,94076.45,18350799195
"Sep 5, 2025",94985.95,96599.05,93959.20,94398.24,51393173741
"Sep 4, 2025",95803.56,96241.30,93958.46,94986.45,51584694982
"Sep 3, 2025",95583.20,96541.63,95193.57,95807.91,52412966980
"Sep 2, 2025",93249.55,95766.93,93369.27,95591.70,64280776403
"Sep 1, 2025",92580.38,93724.80,91591.57,93255.98,57080349778
"Aug 31, 2025",93110.73,93702.18,92470.77,92587.20,41048060247
"Aug 30, 2025",92772.54,93201.59,91946.77,93101.84,44054324942
"Aug 29, 2025",96372.62,96446.39,92045.33,92773.77,66615328407
"Aug 28, 2025",95486.67,97243.51,95249.14,96367.73,50399656005
"Aug 27, 2025",96067.73,97173.10,95292.58,95489.26,53347521231
"Aug 26, 2025",94814.43,96547.57,93374.27,96073.70,59633298993
"Aug 25, 2025",96902.29,97097.29,94098.69,94814.64,73791721072
"Aug 24, 2025",98436.64,98630.88,94847.54,96903.60,63169694718
"Aug 23, 2025",99677.08,99787.86,97689.56,98425.49,47242074209
"Aug 22, 2025",96822.98,100017.98,96189.08,99683.66,70389444381
"Aug 21, 2025",98083.96,98576.79,96498.65,96810.32,49790217455
"Aug 20, 2025",96919.16,98366.24,96420.66,98083.16,58359768370
"Aug 19, 2025",99623.92,100125.44,96822.45,96921.87,61553807046
"Aug 18, 2025",100332.18,100490.13,98225.16,99632.88,62382063045
"Aug 17, 2025",100379.73,101407.22,100197.52,100331.46,39168115365
"Aug 16, 2025",100299.11,100809.70,100191.05,100378.50,41040248560
"Aug 15, 2025",101596.55,102225.31,99841.15,100299.05,58664107141
"Aug 14, 2025",105306.80,106252.52,100752.78,101591.23,89313754495
"Aug 13, 2025",102905.50,105607.38,101791.39,105310.79,77614253035
"Aug 12, 2025",102197.98,103059.27,101823.19,102908.87,62344684478
"Aug 11, 2025",102429.79,104865.27,101721.10,102209.84,77931613330
"Aug 10, 2025",100002.34,102430.39,99991.56,102429.75,55595216263
"Aug 9, 2025",100179.97,101234.62,99909.99,100004.61,46357625815
"Aug 8, 2025",100634.17,100855.17,99407.56,100188.94,51269586236
"Aug 7, 2025",98627.45,100824.52,97907.20,100626.81,54855177871
"Aug 6, 2025",98579.28,99265.91,97862.92,98625.70,48339807346
"Aug 5, 2025",99324.33,99440.40,97509.68,98579.74,52717283291
"Aug 4, 2025",98573.19,100001.14,98615.40,99324.07,30886049903
"Aug 3, 2025",97070.67,98994.44,96586.57,98567.80,41509102665
"Aug 2, 2025",97744.51,98379.32,96640.03,97071.63,49059797575
"Aug 1, 2025",101332.23,101665.98,97230.47,97744.24,78746097008
"Jul 31, 2025",103108.08,103849.61,101159.59,101349.09,60735402827
"Jul 30, 2025",102087.90,103461.34,101394.63,103105.95,60286265798
"Jul 29, 2025",101701.39,103291.53,101330.95,102088.03,59270155219
"Jul 28, 2025",101617.62,101949.03,101308.74,101689.22,55898444489
"Jul 27, 2025",100408.35,101928.45,100335.95,101609.93,46516918613
"Jul 26, 2025",100153.05,100741.18,99758.38,100410.60,41296497231
"Jul 25, 2025",100697.79,100810.27,97657.28,100145.42,89266567585
"Jul 24, 2025",100881.22,101593.18,99708.02,100697.79,61785367190
"Jul 23, 2025",102230.38,102317.36,100175.36,100867.61,56575750087
"Jul 22, 2025",100407.41,102358.76,99444.73,102228.66,67488469327
"Jul 21, 2025",100868.43,102806.61,100240.43,100418.55,59700786567
"Jul 20, 2025",101426.04,102217.98,100224.26,100863.55,49455865126
"Jul 19, 2025",101472.49,101939.68,100948.16,101422.48,40903145750
"Jul 18, 2025",102696.34,104065.34,100564.65,101476.88,67029490525
"Jul 17, 2025",102048.38,104347.52,101481.39,102701.28,62300853594
"Jul 16, 2025",101463.40,103160.30,100837.53,102048.38,62018789940
"Jul 15, 2025",102742.80,102714.02,99636.98,101463.40,84702734604
"Jul 14, 2025",101941.31,105373.80,101722.84,102739.24,155799210089
"Jul 13, 2025",100463.25,102437.33,100320.59,101941.60,41953083727
"Jul 12, 2025",100547.52,101137.13,100073.84,100465.84,38946261340
"Jul 11, 2025",99116.50,101697.88,98691.68,100535.79,74367212908
"Jul 10, 2025",94824.87,99635.91,94587.05,99117.33,81961646321
"Jul 9, 2025",92931.32,95482.53,92572.13,94822.61,49339794192
"Jul 8, 2025",92274.20,93308.77,91539.20,92931.32,37771391654
"Jul 7, 2025",92726.27,93183.94,91901.23,92275.59,38695899298
