Date,Open,High,Low,Close,Volume
2018-01-01,11758.21,11758.21,10961.34,11372.47,8569572820
2018-01-02,11345.66,12820.29,10956.88,12421.94,13967830356
2018-01-03,12418.71,12935.29,12340.59,12656.95,14048209958
2018-01-04,12714.99,13043.59,12043.62,12928.23,18053372902
2018-01-05,12827.12,14719.99,12591.35,14490.77,19821166505
2018-01-06,14517.88,14725.97,13937.98,14571.83,15226638218
2018-01-07,14572.08,14615.56,13377.43,13689.13,13181025491
2018-01-08,13687.96,13732.38,11880.76,12674.49,15384660186
2018-01-09,12635.73,12950.2,12089.51,12237.28,13968306988
2018-01-10,12231.49,12524.72,11462.83,12524.72,15475366384
2018-01-11,12520.45,12563.83,10970.03,11133.46,13731500679
2018-01-12,11173.41,11736.97,10911.44,11465.15,9894784189
2018-01-13,11442.02,12021.9,11442.02,11776.45,10467114870
2018-01-14,11785.14,11900.77,10880.76,11297.79,9092780627
2018-01-15,11293.93,11788.4,11186.31,11267.67,10396086320
2018-01-16,11280.96,11287.59,8316.26,9364.71,15365770119
2018-01-17,9316.3,9523.73,7688.52,9186.8,15461532303
2018-01-18,9195.17,9894.82,8958.98,9380.28,12278590383
2018-01-19,9343.42,9786.84,9112.64,9498.69,8789198141
2018-01-20,9538.63,10722.59,9538.63,10555.81,9657692596
2018-01-21,10547.63,10553.11,9199.84,9464.83,8106380366
2018-01-22,9491.76,9777.27,8351.85,8919.22,8597748303
2018-01-23,8929.91,9262.88,8278.6,8831.07,7849686793
2018-01-24,8859.51,9282.81,8638.3,9167.46,8022750345
2018-01-25,9217.74,9477.84,8855.13,9086.76,7160979679
2018-01-26,9084.01,9380.14,8413.93,8995.41,7847813473
2018-01-27,8998.23,9352.52,8848.7,9212.26,6106183983
2018-01-28,9240.12,9695.06,9240.12,9482.9,6718448841
2018-01-29,9458.12,9558.6,9021.3,9124.72,5741001409
2018-01-30,9133.12,9137.13,8096.97,8144.99,6961524694
2018-01-31,8146.52,8347.35,7870.42,8232.2,6476449897
2018-02-01,8245.25,8279.39,7090.1,7331.15,7961787871
2018-02-02,7308.56,7309.73,6242.69,7087.28,10214205226
2018-02-03,7104.43,7568.82,6622.5,7363.49,5829687063
2018-02-04,7364.13,7491.87,6458.04,6650.34,5683392113
2018-02-05,6645.14,6717.13,5450.25,5624.97,7509332781
2018-02-06,5702.99,6342.46,4879.6,6263.83,11309314420
2018-02-07,6265.04,6896.11,5840.83,6211.83,7473534925
2018-02-08,6225.33,6995.32,6223.3,6741.92,7623776887
2018-02-09,6747.01,7142.14,6432.3,7142.14,5546325696
2018-02-10,7128.33,7457.33,6781.22,7048.07,6360631289
2018-02-11,7043.35,7043.35,6483.36,6636.71,4997705979
2018-02-12,6646.07,7302.66,6644.44,7257.96,5086950002
2018-02-13,7258.09,7285.09,6862.04,6961.63,4612355171
2018-02-14,6962.93,7636.83,6961.81,7615.81,6344605682
2018-02-15,7610.75,8187.84,7514.66,8132.47,7249452274
2018-02-16,8107.91,8301.79,7880.66,8249.82,5881628169
2018-02-17,8228.54,8979.85,8181.7,8958.24,6981765727
2018-02-18,8966.87,9149.38,8324.06,8501.97,7045370823
2018-02-19,8502.62,9088.11,8465.42,9054.12,6172035696
2018-02-20,9059.36,9693.99,9060.09,9245.74,8048111146
2018-02-21,9220.2,9256.24,8532.08,8706.25,7659695128
2018-02-22,8681.81,8984.37,8085.82,8117.65,6523391377
2018-02-23,8062.53,8522.8,7922.65,8379.65,6295859458
2018-02-24,8368.75,8620.52,7766.18,7982.65,5627535983
2018-02-25,7969.1,8072.25,7652.37,7865.82,4644697570
2018-02-26,7869.64,8500.37,7713.07,8419.31,5918695882
2018-02-27,8441.4,8847.19,8312.59,8772.78,5697840537
2018-02-28,8741.37,9074.38,8525.22,8529.86,5690065588
2018-03-01,8519.28,9012.72,8496.27,8924.29,5963067186
2018-03-02,8945.81,9116.76,8810.47,9000.89,6187050483
2018-03-03,9013.48,9359.58,8932.7,9328.33,5431980385
2018-03-04,9334.58,9346.92,9041.24,9346.92,4939636080
2018-03-05,9362.99,9495.46,9285.87,9381.73,5243628327
2018-03-06,9322.39,9323.15,8623.74,8682.96,5503157458
2018-03-07,8702.3,8805.59,7808.67,8029.63,7088800271
2018-03-08,8018.24,8195.28,7533.18,7635.12,5839975607
2018-03-09,7651.11,7691.84,6912.17,7588.42,7073702124
2018-03-10,7599.02,7745.89,7174.7,7205.2,4377342440
2018-03-11,7194.46,7889.43,6994.82,7782.44,5115672876
2018-03-12,7802.19,8072.71,7259.22,7460.79,5233749237
2018-03-13,7434.79,7680.14,7244.8,7419.39,4834293424
2018-03-14,7435.37,7548.69,6524.82,6683.21,5203030561
2018-03-15,6700.15,6834.54,6291.37,6745.38,5553737975
2018-03-16,6763.29,6987.75,6507.85,6786.32,4304858664
2018-03-17,6772.94,6792.98,6358.61,6443.3,3602303156
2018-03-18,6421.84,6712.94,6020.99,6696.81,5406506528
2018-03-19,6794.89,7047.25,6656.69,6996.31,5454855720
2018-03-20,6987.41,7393.42,6798.39,7278.08,5194570060
2018-03-21,7297.69,7470.39,7209.14,7233.11,4895204420
2018-03-22,7241.35,7366.01,6962.77,7083.07,4487860112
2018-03-23,7089.39,7189.39,6779.61,7189.39,4820759608
2018-03-24,7207.47,7283.77,7016.19,7018.15,4586349335
2018-03-25,6973.37,7031.68,6840.82,6878.06,3699708601
2018-03-26,6880.24,6896.34,6364.13,6590.72,4753564444
2018-03-27,6583.17,6613.74,6265.39,6313.4,4334851487
2018-03-28,6316.46,6553.36,6292.64,6461.28,4008845631
2018-03-29,6481.25,6491.01,5757.22,5824.83,5170890769
2018-03-30,5829.5,5904.94,5426.15,5592.5,5104707319
2018-03-31,5594.09,5850.05,5570.59,5659.87,3695535882
2018-04-01,5683.84,5730.83,5297.35,5558.99,3681042963
2018-04-02,5559.5,5784.27,5534.29,5762.47,3525128122
2018-04-03,5777.48,6141.69,5750.93,6073.23,4479677628
